HDR,ROLLING SYSTEM DEMAND
VD,20220211005500,30432
VD,20220211010000,30274
VD,20220211010500,29836
VD,20220211011000,29536
VD,20220211011500,29403
VD,20220211012000,29349
VD,20220211012500,29247
VD,20220211013000,29099
VD,20220211013500,29135
VD,20220211014000,29162
VD,20220211014500,29155
VD,20220211015000,29085
VD,20220211015500,29105
VD,20220211020000,29113
VD,20220211020500,28969
VD,20220211021000,28835
VD,20220211021500,28751
VD,20220211022000,29014
VD,20220211022500,29152
VD,20220211023000,29216
VD,20220211023500,29290
VD,20220211024000,29319
VD,20220211024500,29246
VD,20220211025000,29141
VD,20220211025500,29041
VD,20220211030000,28902
VD,20220211030500,28802
VD,20220211031000,28771
VD,20220211031500,28705
VD,20220211032000,28637
VD,20220211032500,28620
VD,20220211033000,28592
VD,20220211033500,28722
VD,20220211034000,28743
VD,20220211034500,28689
VD,20220211035000,28628
VD,20220211035500,28565
VD,20220211040000,28583
VD,20220211040500,28751
VD,20220211041000,28833
VD,20220211041500,28760
VD,20220211042000,28726
VD,20220211042500,28717
VD,20220211043000,28728
VD,20220211043500,28699
VD,20220211044000,28688
VD,20220211044500,28715
VD,20220211045000,28779
VD,20220211045500,28953
VD,20220211050000,29103
VD,20220211050500,29204
VD,20220211051000,29390
VD,20220211051500,29271
VD,20220211052000,29143
VD,20220211052500,29151
VD,20220211053000,29269
VD,20220211053500,29658
VD,20220211054000,29949
VD,20220211054500,30196
VD,20220211055000,30526
VD,20220211055500,30830
VD,20220211060000,31192
VD,20220211060500,32199
VD,20220211061000,33159
VD,20220211061500,33695
VD,20220211062000,34006
VD,20220211062500,34330
VD,20220211063000,34633
VD,20220211063500,35200
VD,20220211064000,35751
VD,20220211064500,36261
VD,20220211065000,36759
VD,20220211065500,37198
VD,20220211070000,37326
VD,20220211070500,37451
VD,20220211071000,37691
VD,20220211071500,38221
VD,20220211072000,38576
VD,20220211072500,38899
VD,20220211073000,39120
VD,20220211073500,39493
VD,20220211074000,39846
VD,20220211074500,40118
VD,20220211075000,40200
VD,20220211075500,40395
VD,20220211080000,40312
VD,20220211080500,40083
VD,20220211081000,40255
VD,20220211081500,40354
VD,20220211082000,40391
VD,20220211082500,40535
VD,20220211083000,40319
VD,20220211083500,40290
VD,20220211084000,40150
VD,20220211084500,40020
VD,20220211085000,40100
VD,20220211085500,40170
VD,20220211090000,40146
VD,20220211090500,40288
VD,20220211091000,40151
VD,20220211091500,39977
VD,20220211092000,39781
VD,20220211092500,39623
VD,20220211093000,39442
VD,20220211093500,39151
VD,20220211094000,38955
VD,20220211094500,38778
VD,20220211095000,38689
VD,20220211095500,38527
VD,20220211100000,38273
VD,20220211100500,38161
VD,20220211101000,38188
VD,20220211101500,38049
VD,20220211102000,38019
VD,20220211102500,38035
VD,20220211103000,37889
VD,20220211103500,37601
VD,20220211104000,37468
VD,20220211104500,37328
VD,20220211105000,37227
VD,20220211105500,37091
VD,20220211110000,37025
VD,20220211110500,36840
VD,20220211111000,36654
VD,20220211111500,36691
VD,20220211112000,36686
VD,20220211112500,36667
VD,20220211113000,36619
VD,20220211113500,36616
VD,20220211114000,36642
VD,20220211114500,36668
VD,20220211115000,36680
VD,20220211115500,36684
VD,20220211120000,36747
VD,20220211120500,36938
VD,20220211121000,36918
VD,20220211121500,36890
VD,20220211122000,36908
VD,20220211122500,36935
VD,20220211123000,36903
VD,20220211123500,36834
VD,20220211124000,36823
VD,20220211124500,36763
VD,20220211125000,36701
VD,20220211125500,36583
VD,20220211130000,36588
VD,20220211130500,36418
VD,20220211131000,36343
VD,20220211131500,36375
VD,20220211132000,36577
VD,20220211132500,36632
VD,20220211133000,36596
VD,20220211133500,36518
VD,20220211134000,36410
VD,20220211134500,36514
VD,20220211135000,36457
VD,20220211135500,36381
VD,20220211140000,36361
VD,20220211140500,36463
VD,20220211141000,36585
VD,20220211141500,36672
VD,20220211142000,36634
VD,20220211142500,36711
VD,20220211143000,36735
VD,20220211143500,36992
VD,20220211144000,37096
VD,20220211144500,36982
VD,20220211145000,36981
VD,20220211145500,36995
VD,20220211150000,36864
VD,20220211150500,36719
VD,20220211151000,36784
VD,20220211151500,36848
VD,20220211152000,36916
VD,20220211152500,36916
VD,20220211153000,36958
VD,20220211153500,37151
VD,20220211154000,37295
VD,20220211154500,37519
VD,20220211155000,37805
VD,20220211155500,38039
VD,20220211160000,38212
VD,20220211160500,38417
VD,20220211161000,38654
VD,20220211161500,38833
VD,20220211162000,39068
VD,20220211162500,39279
VD,20220211163000,39451
VD,20220211163500,39572
VD,20220211164000,39642
VD,20220211164500,39882
VD,20220211165000,40227
VD,20220211165500,40588
VD,20220211170000,40854
VD,20220211170500,41359
VD,20220211171000,41633
VD,20220211171500,41814
VD,20220211172000,42048
VD,20220211172500,42260
VD,20220211173000,42424
VD,20220211173500,42784
VD,20220211174000,42839
VD,20220211174500,42842
VD,20220211175000,42967
VD,20220211175500,42889
VD,20220211180000,42868
VD,20220211180500,42808
VD,20220211181000,42806
VD,20220211181500,42567
VD,20220211182000,42524
VD,20220211182500,42344
VD,20220211183000,42287
VD,20220211183500,42220
VD,20220211184000,42196
VD,20220211184500,41883
VD,20220211185000,41735
VD,20220211185500,41652
VD,20220211190000,41453
VD,20220211190500,41524
VD,20220211191000,41374
VD,20220211191500,41206
VD,20220211192000,41132
VD,20220211192500,40920
VD,20220211193000,40551
VD,20220211193500,40294
VD,20220211194000,40008
VD,20220211194500,39609
VD,20220211195000,39557
VD,20220211195500,39320
VD,20220211200000,38971
VD,20220211200500,39179
VD,20220211201000,39110
VD,20220211201500,38866
VD,20220211202000,38702
VD,20220211202500,38467
VD,20220211203000,38167
VD,20220211203500,38038
VD,20220211204000,37847
VD,20220211204500,37550
VD,20220211205000,37208
VD,20220211205500,37052
VD,20220211210000,36725
VD,20220211210500,36380
VD,20220211211000,35988
VD,20220211211500,35641
VD,20220211212000,35346
VD,20220211212500,35101
VD,20220211213000,34815
VD,20220211213500,34705
VD,20220211214000,34475
VD,20220211214500,34162
VD,20220211215000,33892
VD,20220211215500,33540
VD,20220211220000,33207
VD,20220211220500,32945
VD,20220211221000,32708
VD,20220211221500,32441
VD,20220211222000,32263
VD,20220211222500,31816
VD,20220211223000,31403
VD,20220211223500,31281
VD,20220211224000,30964
VD,20220211224500,30758
VD,20220211225000,30617
VD,20220211225500,30167
VD,20220211230000,29803
VD,20220211230500,29613
VD,20220211231000,29423
VD,20220211231500,28916
VD,20220211232000,28288
VD,20220211232500,27836
VD,20220211233000,27660
VD,20220211233500,27538
VD,20220211234000,27400
VD,20220211234500,27216
VD,20220211235000,26995
VD,20220211235500,26815
VD,20220212000000,26669
VD,20220212000500,26492
VD,20220212001000,26314
VD,20220212001500,26221
VD,20220212002000,26189
VD,20220212002500,26089
VD,20220212003000,26107
VD,20220212003500,26536
VD,20220212004000,26700
VD,20220212004500,26779
VD,20220212005000,26730
VD,20220212005500,26649
VD,20220212010000,26538
VD,20220212010500,26355
VD,20220212011000,26113
VD,20220212011500,25938
VD,20220212012000,25787
VD,20220212012500,25610
VD,20220212013000,25415
VD,20220212013500,25295
VD,20220212014000,25226
VD,20220212014500,25131
VD,20220212015000,25561
VD,20220212015500,25125
VD,20220212020000,25098
VD,20220212020500,25004
VD,20220212021000,24990
VD,20220212021500,24934
VD,20220212022000,24914
VD,20220212022500,24886
VD,20220212023000,24817
VD,20220212023500,24823
VD,20220212024000,24920
VD,20220212024500,25045
VD,20220212025000,25013
VD,20220212025500,24958
VD,20220212030000,24763
VD,20220212030500,24488
VD,20220212031000,24496
VD,20220212031500,24436
VD,20220212032000,24424
VD,20220212032500,24345
VD,20220212033000,24306
VD,20220212033500,24319
VD,20220212034000,24264
VD,20220212034500,24276
VD,20220212035000,24373
VD,20220212035500,24443
VD,20220212040000,24397
VD,20220212040500,24302
VD,20220212041000,24281
VD,20220212041500,24282
VD,20220212042000,24274
VD,20220212042500,24271
VD,20220212043000,24274
VD,20220212043500,24425
VD,20220212044000,24456
VD,20220212044500,24498
VD,20220212045000,24518
VD,20220212045500,24525
VD,20220212050000,24560
VD,20220212050500,24586
VD,20220212051000,24600
VD,20220212051500,24601
VD,20220212052000,24621
VD,20220212052500,24652
VD,20220212053000,24652
VD,20220212053500,24713
VD,20220212054000,24814
VD,20220212054500,24909
VD,20220212055000,25032
VD,20220212055500,25250
VD,20220212060000,25193
VD,20220212060500,25561
VD,20220212061000,25891
VD,20220212061500,26017
VD,20220212062000,26046
VD,20220212062500,26196
VD,20220212063000,26309
VD,20220212063500,26497
VD,20220212064000,26587
VD,20220212064500,26628
VD,20220212065000,26832
VD,20220212065500,27041
VD,20220212070000,27219
VD,20220212070500,27558
VD,20220212071000,27809
VD,20220212071500,28067
VD,20220212072000,28158
VD,20220212072500,28302
VD,20220212073000,28404
VD,20220212073500,28554
VD,20220212074000,28702
VD,20220212074500,28916
VD,20220212075000,29068
VD,20220212075500,29330
VD,20220212080000,29562
VD,20220212080500,30018
VD,20220212081000,30374
VD,20220212081500,30533
VD,20220212082000,30655
VD,20220212082500,30889
VD,20220212083000,31073
VD,20220212083500,31218
VD,20220212084000,31328
VD,20220212084500,31647
VD,20220212085000,31856
VD,20220212085500,32029
VD,20220212090000,31975
VD,20220212090500,31545
VD,20220212091000,31329
VD,20220212091500,31370
VD,20220212092000,31450
VD,20220212092500,31503
VD,20220212093000,31547
VD,20220212093500,31591
VD,20220212094000,31568
VD,20220212094500,31639
VD,20220212095000,31800
VD,20220212095500,31801
VD,20220212100000,31655
VD,20220212100500,31521
VD,20220212101000,31577
VD,20220212101500,31586
VD,20220212102000,31537
VD,20220212102500,31578
VD,20220212103000,31609
VD,20220212103500,31609
VD,20220212104000,31532
VD,20220212104500,31479
VD,20220212105000,31150
VD,20220212105500,31198
VD,20220212110000,31500
VD,20220212110500,31408
VD,20220212111000,31328
VD,20220212111500,31241
VD,20220212112000,31125
VD,20220212112500,31109
VD,20220212113000,31154
VD,20220212113500,31176
VD,20220212114000,31124
VD,20220212114500,31040
VD,20220212115000,31009
VD,20220212115500,30948
VD,20220212120000,30916
VD,20220212120500,31046
VD,20220212121000,31054
VD,20220212121500,31005
VD,20220212122000,30698
VD,20220212122500,30541
VD,20220212123000,30472
VD,20220212123500,30398
VD,20220212124000,30232
VD,20220212124500,30117
VD,20220212125000,30101
VD,20220212125500,30075
VD,20220212130000,30062
VD,20220212130500,30123
VD,20220212131000,29954
VD,20220212131500,29937
VD,20220212132000,29944
VD,20220212132500,29950
VD,20220212133000,29902
VD,20220212133500,29940
VD,20220212134000,29898
VD,20220212134500,29842
VD,20220212135000,29904
VD,20220212135500,29907
VD,20220212140000,29908
VD,20220212140500,29919
VD,20220212141000,29907
VD,20220212141500,29954
VD,20220212142000,30042
VD,20220212142500,30022
VD,20220212143000,30063
VD,20220212143500,30237
VD,20220212144000,30358
VD,20220212144500,30455
VD,20220212145000,30546
VD,20220212145500,30722
VD,20220212150000,30894
VD,20220212150500,31042
VD,20220212151000,31255
VD,20220212151500,31291
VD,20220212152000,31324
VD,20220212152500,31368
VD,20220212153000,31446
VD,20220212153500,31543
VD,20220212154000,31622
VD,20220212154500,31747
VD,20220212155000,31834
VD,20220212155500,32078
VD,20220212160000,32211
VD,20220212160500,32154
VD,20220212161000,32318
VD,20220212161500,32639
VD,20220212162000,32651
VD,20220212162500,33065
VD,20220212163000,33563
VD,20220212163500,33572
VD,20220212164000,33715
VD,20220212164500,33942
VD,20220212165000,34144
VD,20220212165500,34360
VD,20220212170000,34548
VD,20220212170500,35131
VD,20220212171000,35313
VD,20220212171500,35485
VD,20220212172000,35791
VD,20220212172500,36242
VD,20220212173000,36677
VD,20220212173500,36944
VD,20220212174000,37134
VD,20220212174500,37247
VD,20220212175000,37390
VD,20220212175500,37437
VD,20220212180000,37343
VD,20220212180500,37438
VD,20220212181000,37427
VD,20220212181500,37338
VD,20220212182000,37286
VD,20220212182500,37201
VD,20220212183000,37030
VD,20220212183500,36899
VD,20220212184000,36838
VD,20220212184500,36730
VD,20220212185000,36567
VD,20220212185500,36458
VD,20220212190000,36206
VD,20220212190500,35935
VD,20220212191000,35760
VD,20220212191500,35508
VD,20220212192000,35211
VD,20220212192500,34971
VD,20220212193000,34839
VD,20220212193500,34632
VD,20220212194000,34514
VD,20220212194500,34371
VD,20220212195000,34224
VD,20220212195500,33923
VD,20220212200000,33648
VD,20220212200500,33994
VD,20220212201000,34134
VD,20220212201500,34082
VD,20220212202000,33834
VD,20220212202500,33767
VD,20220212203000,33608
VD,20220212203500,33313
VD,20220212204000,33137
VD,20220212204500,32970
VD,20220212205000,32825
VD,20220212205500,32535
VD,20220212210000,32204
VD,20220212210500,31587
VD,20220212211000,31085
VD,20220212211500,30697
VD,20220212212000,30362
VD,20220212212500,30190
VD,20220212213000,30050
VD,20220212213500,30003
VD,20220212214000,29734
VD,20220212214500,29611
VD,20220212215000,29492
VD,20220212215500,29147
VD,20220212220000,28812
VD,20220212220500,28614
VD,20220212221000,28386
VD,20220212221500,28278
VD,20220212222000,28125
VD,20220212222500,27884
VD,20220212223000,27703
VD,20220212223500,27648
VD,20220212224000,27531
VD,20220212224500,27371
VD,20220212225000,27194
VD,20220212225500,27034
VD,20220212230000,26914
VD,20220212230500,26883
VD,20220212231000,26636
VD,20220212231500,26589
VD,20220212232000,26408
VD,20220212232500,26010
VD,20220212233000,25840
VD,20220212233500,25763
VD,20220212234000,25714
VD,20220212234500,25486
VD,20220212235000,25382
VD,20220212235500,25387
VD,20220213000000,25323
VD,20220213000500,25522
VD,20220213001000,25403
VD,20220213001500,25262
VD,20220213002000,25235
VD,20220213002500,25281
VD,20220213003000,25147
VD,20220213003500,25251
VD,20220213004000,25367
VD,20220213004500,25368
VD,20220213005000,25329
VD,20220213005500,25353
VD,20220213010000,25255
VD,20220213010500,25224
VD,20220213011000,25164
VD,20220213011500,25193
VD,20220213012000,25129
VD,20220213012500,25078
VD,20220213013000,25098
VD,20220213013500,25075
VD,20220213014000,25040
VD,20220213014500,25011
VD,20220213015000,24953
VD,20220213015500,24930
VD,20220213020000,24986
VD,20220213020500,25000
VD,20220213021000,24888
VD,20220213021500,24768
VD,20220213022000,24690
VD,20220213022500,24605
VD,20220213023000,24684
VD,20220213023500,24680
VD,20220213024000,24551
VD,20220213024500,24505
VD,20220213025000,24303
VD,20220213025500,24361
VD,20220213030000,24308
VD,20220213030500,23915
VD,20220213031000,23651
VD,20220213031500,23625
VD,20220213032000,23719
VD,20220213032500,23832
VD,20220213033000,23938
VD,20220213033500,23935
VD,20220213034000,23948
VD,20220213034500,23927
VD,20220213035000,23856
VD,20220213035500,23892
VD,20220213040000,23979
VD,20220213040500,24175
VD,20220213041000,24187
VD,20220213041500,24135
VD,20220213042000,24181
VD,20220213042500,24198
VD,20220213043000,24167
VD,20220213043500,24174
VD,20220213044000,24311
VD,20220213044500,24266
VD,20220213045000,24120
VD,20220213045500,24074
VD,20220213050000,24027
VD,20220213050500,23933
VD,20220213051000,23730
VD,20220213051500,23717
VD,20220213052000,23662
VD,20220213052500,23667
VD,20220213053000,23668
VD,20220213053500,23727
VD,20220213054000,23702
VD,20220213054500,23809
VD,20220213055000,23978
VD,20220213055500,24069
VD,20220213060000,24046
VD,20220213060500,23992
VD,20220213061000,23930
VD,20220213061500,23939
VD,20220213062000,24028
VD,20220213062500,24072
VD,20220213063000,24126
VD,20220213063500,24224
VD,20220213064000,24346
VD,20220213064500,24338
VD,20220213065000,24413
VD,20220213065500,24492
VD,20220213070000,24411
VD,20220213070500,24402
VD,20220213071000,24559
VD,20220213071500,24519
VD,20220213072000,24598
VD,20220213072500,24677
VD,20220213073000,24825
VD,20220213073500,25107
VD,20220213074000,25426
VD,20220213074500,25458
VD,20220213075000,25516
VD,20220213075500,25807
VD,20220213080000,26209
VD,20220213080500,26780
VD,20220213081000,27106
VD,20220213081500,27414
VD,20220213082000,27719
VD,20220213082500,28000
VD,20220213083000,28085
VD,20220213083500,28328
VD,20220213084000,28499
VD,20220213084500,28542
VD,20220213085000,28703
VD,20220213085500,29048
VD,20220213090000,29448
VD,20220213090500,29849
VD,20220213091000,30237
VD,20220213091500,30453
VD,20220213092000,30630
VD,20220213092500,30856
VD,20220213093000,31014
VD,20220213093500,31232
VD,20220213094000,31313
VD,20220213094500,31123
VD,20220213095000,31435
VD,20220213095500,31694
VD,20220213100000,31831
VD,20220213100500,32026
VD,20220213101000,32355
VD,20220213101500,32585
VD,20220213102000,32640
VD,20220213102500,32638
VD,20220213103000,32831
VD,20220213103500,32998
VD,20220213104000,33097
VD,20220213104500,33155
VD,20220213105000,33256
VD,20220213105500,33336
VD,20220213110000,33359
VD,20220213110500,33561
VD,20220213111000,33603
VD,20220213111500,33626
VD,20220213112000,33726
VD,20220213112500,33856
VD,20220213113000,33986
VD,20220213113500,34130
VD,20220213114000,34226
VD,20220213114500,34278
VD,20220213115000,34375
VD,20220213115500,34491
VD,20220213120000,34462
VD,20220213120500,34555
VD,20220213121000,34733
VD,20220213121500,34890
VD,20220213122000,34935
VD,20220213122500,34991
VD,20220213123000,35037
VD,20220213123500,35033
VD,20220213124000,34938
VD,20220213124500,34991
VD,20220213125000,34995
VD,20220213125500,35015
VD,20220213130000,35069
VD,20220213130500,34997
VD,20220213131000,34930
VD,20220213131500,34834
VD,20220213132000,34822
VD,20220213132500,34778
VD,20220213133000,34868
VD,20220213133500,35000
VD,20220213134000,34964
VD,20220213134500,34922
VD,20220213135000,34903
VD,20220213135500,34836
VD,20220213140000,34818
VD,20220213140500,34838
VD,20220213141000,34934
VD,20220213141500,34956
VD,20220213142000,34875
VD,20220213142500,34798
VD,20220213143000,34785
VD,20220213143500,34914
VD,20220213144000,35015
VD,20220213144500,34956
VD,20220213145000,34953
VD,20220213145500,35004
VD,20220213150000,35010
VD,20220213150500,35093
VD,20220213151000,35214
VD,20220213151500,35103
VD,20220213152000,34944
VD,20220213152500,34924
VD,20220213153000,35010
VD,20220213153500,35027
VD,20220213154000,35163
VD,20220213154500,35276
VD,20220213155000,35460
VD,20220213155500,35460
VD,20220213160000,35619
VD,20220213160500,35795
VD,20220213161000,35844
VD,20220213161500,35650
VD,20220213162000,35874
VD,20220213162500,36142
VD,20220213163000,36326
VD,20220213163500,36649
VD,20220213164000,36748
VD,20220213164500,36918
VD,20220213165000,37031
VD,20220213165500,37084
VD,20220213170000,37194
VD,20220213170500,37557
VD,20220213171000,37850
VD,20220213171500,38244
VD,20220213172000,38487
VD,20220213172500,38653
VD,20220213173000,38792
VD,20220213173500,38983
VD,20220213174000,38834
VD,20220213174500,38780
VD,20220213175000,38817
VD,20220213175500,38816
VD,20220213180000,38764
VD,20220213180500,38843
VD,20220213181000,38832
VD,20220213181500,38859
VD,20220213182000,38825
VD,20220213182500,38558
VD,20220213183000,38424
VD,20220213183500,38385
VD,20220213184000,38134
VD,20220213184500,38054
VD,20220213185000,38027
VD,20220213185500,37751
VD,20220213190000,37487
VD,20220213190500,37335
VD,20220213191000,37324
VD,20220213191500,36942
VD,20220213192000,36864
VD,20220213192500,36916
VD,20220213193000,36825
VD,20220213193500,36660
VD,20220213194000,36386
VD,20220213194500,36081
VD,20220213195000,35783
VD,20220213195500,35718
VD,20220213200000,35406
VD,20220213200500,35220
VD,20220213201000,35122
VD,20220213201500,34612
VD,20220213202000,34462
VD,20220213202500,34240
VD,20220213203000,34124
VD,20220213203500,33958
VD,20220213204000,33692
VD,20220213204500,33434
VD,20220213205000,33231
VD,20220213205500,33152
VD,20220213210000,32916
VD,20220213210500,32825
VD,20220213211000,32608
VD,20220213211500,32206
VD,20220213212000,31784
VD,20220213212500,31514
VD,20220213213000,31283
VD,20220213213500,31123
VD,20220213214000,30821
VD,20220213214500,30599
VD,20220213215000,30300
VD,20220213215500,29973
VD,20220213220000,29794
VD,20220213220500,29638
VD,20220213221000,29378
VD,20220213221500,29095
VD,20220213222000,28639
VD,20220213222500,28180
VD,20220213223000,28133
VD,20220213223500,27934
FTR,2000
