Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007
Trinidad and Tobago,TTO,Rural population,SP.RUR.TOTL,558754,563102,567975,573201,578552,583851,589027,594167
Tunisia,TUN,Rural population,SP.RUR.TOTL,3550148,3543634,3533714,3522122,3512808,3513419,3516970,3523290
Turkey,TUR,Rural population,SP.RUR.TOTL,22297861,22249031,22166359,22072538,21962832,21837753,21692773,21533496
Tuvalu,TUV,Rural population,SP.RUR.TOTL,5070,5077,5100,5090,5066,5029,4986,4931
Tanzania,TZA,Rural population,SP.RUR.TOTL,26025846,26589202,27192241,27758065,28325265,28897340,29472457,30055023
Uganda,UGA,Rural population,SP.RUR.TOTL,20153246,20681606,21234625,21807811,22393908,22989284,23592895,24208576
Ukraine,UKR,Rural population,SP.RUR.TOTL,16156939,15969540,15770402,15574112,15375750,15172576,14986596,14814625
Upper middle income,UMC,Rural population,SP.RUR.TOTL,1102965651,1092735697,1080175153,1066726590,1052570348,1037909802,1023158896,1008040146
Uruguay,URY,Rural population,SP.RUR.TOTL,264649,255962,247158,238373,229913,221929,214389,207268
United States,USA,Rural population,SP.RUR.TOTL,59093274,59176653,59224903,59231337,59272576,59316092,59380586,59435929
Uzbekistan,UZB,Rural population,SP.RUR.TOTL,13280156,13329518,13371841,13404863,13435495,13466323,13503445,13566997
St. Vincent and the Grenadines,VCT,Rural population,SP.RUR.TOTL,59082,58750,58464,58187,57889,57532,57112,56652
"Venezuela, RB",VEN,Rural population,SP.RUR.TOTL,3009783,2994546,3043173,3091235,3138309,3184052,3227393,3268077
British Virgin Islands,VGB,Rural population,SP.RUR.TOTL,11827,11982,12185,12438,12748,13122,13568,14070
Virgin Islands (U.S.),VIR,Rural population,SP.RUR.TOTL,8055,7800,7557,7323,7093,6872,6653,6443
Vietnam,VNM,Rural population,SP.RUR.TOTL,60433047,60607743,60734164,60827503,60899167,60962273,61019404,61071589
Vanuatu,VUT,Rural population,SP.RUR.TOTL,144877,147672,150807,154152,157565,160940,164231,167480
World,WLD,Rural population,SP.RUR.TOTL,3258666866,3273208448,3283730657,3293311000,3302106624,3310160129,3318331550,3326564331
Samoa,WSM,Rural population,SP.RUR.TOTL,136114,136688,137704,138971,140275,141589,142925,144271
Kosovo,XKX,Rural population,SP.RUR.TOTL,,,,,,,,
"Yemen, Rep.",YEM,Rural population,SP.RUR.TOTL,12836230,13118575,13405792,13697868,13992663,14289134,14586861,14886906
South Africa,ZAF,Rural population,SP.RUR.TOTL,19385131,19427945,19430457,19413698,19392871,19374404,19358449,19345329
Zambia,ZMB,Rural population,SP.RUR.TOTL,6790986,6949714,7079492,7209829,7342742,7479986,7621231,7766712
Zimbabwe,ZWE,Rural population,SP.RUR.TOTL,7870531,7849507,7819901,7850870,7897803,7957336,8031622,8120405
